,t,r,velocity,theta,tau
652,1134.5152987007064,2.8922569209079176,-0.5854456127680194,32.600000000000286,1061.4421498536185
653,1134.9920134384906,2.864036735574415,-0.5432983249605411,32.65000000000028,1061.8522851747546
654,1135.460765453889,2.837892052091594,-0.5024301909269916,32.70000000000028,1062.2549667397209
655,1135.922229087062,2.8137614421116566,-0.4627397279199343,32.75000000000028,1062.6508294123767
656,1136.3770471854173,2.791588459356604,-0.42412917399079453,32.800000000000274,1063.0404777186973
657,1136.8258342047889,2.7713214596516287,-0.3865042403077013,32.85000000000027,1063.4244888503335
658,1137.269179108127,2.7529134335521084,-0.34977385586213544,32.90000000000027,1063.803415468965
659,1137.707648083317,2.7363218518713777,-0.3138499073805094,32.950000000000266,1064.1777883328166
660,1138.141787100257,2.721508524292768,-0.27864697659249493,33.00000000000026,1064.5481187652065
661,1138.5721243259757,2.7084394711559225,-0.24408207645908322,33.05000000000026,1064.9149009836522
662,1138.9991724153688,2.6970848084389103,-0.21007438751150298,33.10000000000026,1065.2786143068477
663,1139.4234306940634,2.687418645909633,-0.17654499508168836,33.150000000000254,1065.6397252557667
664,1139.8453872489902,2.6794189983888277,-0.1434166279029704,33.20000000000025,1065.998689564213
665,1140.2655209414404,2.6730677100493287,-0.11061339831525983,33.25000000000025,1066.3559541133384
666,1140.6843033567075,2.668350391669636,-0.07806054411329165,33.300000000000246,1066.7119588039745
667,1141.1022007038548,2.6652563707619366,-0.04568417192227771,33.35000000000024,1067.0671383800689
668,1141.5196756787168,2.663778654503604,-0.01341100186675982,33.40000000000024,1067.4219242160782
669,1141.9371893029115,2.66391390541524,0.01883188678892749,33.45000000000024,1067.7767460808514
670,1142.3552027514338,2.6656624297460128,0.05111730940975516,33.500000000000234,1068.1320338903192
671,1142.7741791812975,2.669028178547067,0.08351822958391242,33.55000000000023,1068.4882194612132
672,1143.1945855737029,2.674018761434923,0.1161080129667036,33.60000000000023,1068.8457382780387
673,1143.616894602326,2.6806454730677807,0.14896068178573252,33.650000000000226,1069.2050312856527
674,1144.0415865405585,2.688923332377403,0.18215117038049006,33.70000000000022,1069.5665467200229
675,1144.4691512208647,2.6988711346164127,0.21575558208545947,33.75000000000022,1069.930741990086
676,1144.9000900598912,2.710511516294138,0.24985144767355963,33.80000000000022,1070.2980856240843
677,1145.334918163528,2.7238710330820215,0.28451798545261864,33.850000000000215,1070.6690592943273
678,1145.7741665268288,2.7389802507704055,0.3198363629468857,33.90000000000021,1071.044159935033
679,1146.2183843445175,2.755873849350227,0.3558899598923362,33.95000000000021,1071.4239019687095
680,1146.668141448763,2.774590740273477,0.39276463202118805,34.000000000000206,1071.8088196575102
681,1147.1240308919923,2.795174196912514,0.4305489747984351,34.0500000000002,1072.1994695970645
682,1147.5866716937442,2.8176719981871896,0.46933458589015226,34.1000000000002,1072.5964333715328
683,1148.0567117719334,2.842136585256434,0.5092163246764433,34.1500000000002,1073.0003203899955
684,1148.5348310804163,2.8686252310728375,0.5502925665551488,34.200000000000195,1073.411770925813
685,1149.021744976413,2.8972002224694533,0.5926654490967923,34.25000000000019,1073.8314593822668
686,1149.5182078431535,2.9279290542809684,0.6364411062841852,34.30000000000019,1074.2600978096118
687,1150.0250169950743,2.960884634788889,0.6817298860751257,34.350000000000186,1074.6984397006383
688,1150.543016894971,2.9961455015132787,0.7286465453326094,34.40000000000018,1075.1472840939502
689,1151.0731037147261,3.0337960460410054,0.7773104147376324,34.45000000000018,1075.607480016399
690,1151.6162302735252,3.073926746169689,0.8278455245928682,34.50000000000018,1076.0799312984398
691,1152.17341138983,3.116634403142365,0.8803806803925944,34.550000000000175,1076.5656017985823
692,1152.7457296857424,3.1620223811328505,0.9350494746194826,34.60000000000017,1077.0655210755215
693,1153.334341884685,3.2102008453949837,0.99199021836884,34.65000000000017,1077.5807905489103
694,1153.9404856454807,3.261286994586553,1.0513457730242912,34.700000000000166,1078.1125901919631
695,1154.5654869777575,3.3154052816928443,1.1132632582363844,34.75000000000016,1078.662185801057
696,1155.2107682850335,3.37268761667348,1.177893607800546,34.80000000000016,1079.23093688904
697,1155.8778570825796,3.433273542403113,1.2453909396003258,34.85000000000016,1079.8203052498884
